## opening file [/atlas/dq2/rucio/group/det-indet/20/22/group.det-indet.8685043.EXT0._000032.InDetDxAOD.pool.root]...
## importing ROOT...
## importing ROOT... [DONE]
## opening file [OK]
File:/atlas/dq2/rucio/group/det-indet/20/22/group.det-indet.8685043.EXT0._000032.InDetDxAOD.pool.root
Size:    79893.689 kb
Nbr Events: 100

================================================================================
     Mem Size       Disk Size        Size/Evt      MissZip/Mem  items  (X) Container Name (X=Tree|Branch)
      24.801 kb        1.661 kb        0.017 kb        0.000      100  (B) MBTSContainer
       4.523 kb        1.662 kb        0.017 kb        0.000      100  (B) AntiKt4EMTopoJetsAuxDyn.InputType
       3.012 kb        1.662 kb        0.017 kb        0.000      100  (B) TruthEventsAuxDyn.XF1
       3.001 kb        1.672 kb        0.017 kb        0.000      100  (B) TruthEventsAuxDyn.X1
       3.001 kb        1.672 kb        0.017 kb        0.000      100  (B) TruthEventsAuxDyn.X2
       3.307 kb        1.680 kb        0.017 kb        0.000      100  (B) ElectronsAuxDyn.ptvarcone30
       4.566 kb        1.685 kb        0.017 kb        0.000      100  (B) AntiKt4EMTopoJetsAuxDyn.AlgorithmType
       3.742 kb        1.685 kb        0.017 kb        0.000      100  (B) TauJetsAuxDyn.NUMVERTICES
       5.143 kb        1.693 kb        0.017 kb        0.000      100  (B) AntiKt2PV0TrackJetsAuxDyn.InputType
       3.274 kb        1.695 kb        0.017 kb        0.000      100  (B) ElectronsAuxDyn.ptcone40
       4.556 kb        1.696 kb        0.017 kb        0.000      100  (B) AntiKt4EMTopoJetsAuxDyn.GhostHBosons
       4.556 kb        1.696 kb        0.017 kb        0.000      100  (B) AntiKt4EMTopoJetsAuxDyn.GhostWBosons
       5.100 kb        1.699 kb        0.017 kb        0.000      100  (B) AntiKt2PV0TrackJetsAuxDyn.Dip12
       5.100 kb        1.699 kb        0.017 kb        0.000      100  (B) AntiKt2PV0TrackJetsAuxDyn.Dip13
       5.100 kb        1.699 kb        0.017 kb        0.000      100  (B) AntiKt2PV0TrackJetsAuxDyn.Dip23
       4.588 kb        1.701 kb        0.017 kb        0.000      100  (B) AntiKt4EMTopoJetsAuxDyn.OriginCorrected
       4.588 kb        1.701 kb        0.017 kb        0.000      100  (B) AntiKt4EMTopoJetsAuxDyn.PileupCorrected
       3.710 kb        1.701 kb        0.017 kb        0.000      100  (B) TauJetsAuxDyn.NUMTRACK
       4.556 kb        1.704 kb        0.017 kb        0.000      100  (B) AntiKt4EMTopoJetsAuxDyn.JetGhostArea
       4.566 kb        1.710 kb        0.017 kb        0.000      100  (B) AntiKt4EMTopoJetsAuxDyn.SizeParameter
       4.577 kb        1.710 kb        0.017 kb        0.000      100  (B) AntiKt4EMTopoJetsAuxDyn.GhostHBosonsPt
       4.577 kb        1.710 kb        0.017 kb        0.000      100  (B) AntiKt4EMTopoJetsAuxDyn.GhostTausFinal
       4.577 kb        1.710 kb        0.017 kb        0.000      100  (B) AntiKt4EMTopoJetsAuxDyn.GhostWBosonsPt
       4.577 kb        1.712 kb        0.017 kb        0.000      100  (B) AntiKt4EMTopoJetsAuxDyn.GhostZBosonsPt
       3.307 kb        1.717 kb        0.017 kb        0.000      100  (B) ElectronsAuxDyn.ptvarcone40
       4.599 kb        1.722 kb        0.017 kb        0.000      100  (B) AntiKt4EMTopoJetsAuxDyn.ConstituentScale
       4.599 kb        1.722 kb        0.017 kb        0.000      100  (B) AntiKt4EMTopoJetsAuxDyn.GhostTausFinalPt
       4.583 kb        1.722 kb        0.017 kb        0.000      100  (B) AntiKt4EMTopoJetsAuxDyn.GhostZBosons
       3.285 kb        1.729 kb        0.017 kb        0.000      100  (B) ElectronsAuxDyn.isEMLoose
       4.609 kb        1.731 kb        0.017 kb        0.000      100  (B) AntiKt4EMTopoJetsAuxDyn.ConeExclTausFinal
       4.609 kb        1.731 kb        0.017 kb        0.000      100  (B) AntiKt4EMTopoJetsAuxDyn.GhostHBosonsCount
       4.609 kb        1.731 kb        0.017 kb        0.000      100  (B) AntiKt4EMTopoJetsAuxDyn.GhostTQuarksFinal
       4.609 kb        1.731 kb        0.017 kb        0.000      100  (B) AntiKt4EMTopoJetsAuxDyn.GhostWBosonsCount
       5.186 kb        1.732 kb        0.017 kb        0.000      100  (B) AntiKt2PV0TrackJetsAuxDyn.AlgorithmType
       4.577 kb        1.732 kb        0.017 kb        0.000      100  (B) BTagging_AntiKt4EMTopoAuxDyn.MSV_nvsec
       4.609 kb        1.734 kb        0.017 kb        0.000      100  (B) AntiKt4EMTopoJetsAuxDyn.GhostZBosonsCount
       4.556 kb        1.734 kb        0.017 kb        0.000      100  (B) BTagging_AntiKt4EMTopoAuxDyn.SV1_Lxy
       5.518 kb        1.735 kb        0.017 kb        0.000      100  (B) AntiKt3PV0TrackJetsAuxDyn.InputType
       4.556 kb        1.735 kb        0.017 kb        0.000      100  (B) BTagging_AntiKt4EMTopoAuxDyn.SV1_L3d
       5.143 kb        1.736 kb        0.017 kb        0.000      100  (B) BTagging_AntiKt2TrackAuxDyn.SV1_L3d
       5.143 kb        1.736 kb        0.017 kb        0.000      100  (B) BTagging_AntiKt2TrackAuxDyn.SV1_Lxy
       4.620 kb        1.737 kb        0.017 kb        0.000      100  (B) AntiKt4EMTopoJetsAuxDyn.TruthLabelDeltaR_T
       4.620 kb        1.738 kb        0.017 kb        0.000      100  (B) AntiKt4EMTopoJetsAuxDyn.GhostBHadronsFinal
       4.620 kb        1.738 kb        0.017 kb        0.000      100  (B) AntiKt4EMTopoJetsAuxDyn.GhostCHadronsFinal
       4.609 kb        1.740 kb        0.017 kb        0.000      100  (B) BTagging_AntiKt4EMTopoAuxDyn.SV0_normdist
       5.186 kb        1.743 kb        0.017 kb        0.000      100  (B) AntiKt2PV0TrackJetsAuxDyn.SizeParameter
       4.599 kb        1.743 kb        0.017 kb        0.000      100  (B) AntiKt4EMTopoJetsAuxDyn.ConeTruthLabelID
       4.599 kb        1.743 kb        0.017 kb        0.000      100  (B) BTagging_AntiKt4EMTopoAuxDyn.MSV_N2Tpair
       5.218 kb        1.745 kb        0.017 kb        0.000      100  (B) AntiKt2PV0TrackJetsAuxDyn.ConstituentScale
       4.631 kb        1.745 kb        0.017 kb        0.000      100  (B) AntiKt4EMTopoJetsAuxDyn.GhostTQuarksFinalPt
       4.631 kb        1.745 kb        0.017 kb        0.000      100  (B) AntiKt4EMTopoJetsAuxDyn.GhostTausFinalCount
       5.475 kb        1.746 kb        0.017 kb        0.000      100  (B) AntiKt3PV0TrackJetsAuxDyn.Dip13
       5.475 kb        1.746 kb        0.017 kb        0.000      100  (B) AntiKt3PV0TrackJetsAuxDyn.Dip23
       5.175 kb        1.751 kb        0.018 kb        0.000      100  (B) AntiKt2PV0TrackJetsAuxDyn.GhostWBosons
       5.175 kb        1.751 kb        0.018 kb        0.000      100  (B) AntiKt2PV0TrackJetsAuxDyn.GhostZBosons
